Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Genre
Tetris,Series,Nintendo,,,,496.40m,,,,,,31st Jul 89,27th Feb 20,Puzzle
Pokemon,Series,Nintendo,,,,442.94m,,,,,,28th Sep 98,03rd Feb 20,Role-Playing
Call of Duty,Series,Activision,,,,400.00m,,,,,,29th Oct 03,03rd Feb 20,Shooter
Super Mario,Series,Nintendo,,,,394.96m,,,,,,20th Jul 83,20th Feb 20,Platform
Grand Theft Auto,Series,Rockstar Games,,,,385.00m,,,,,,27th Mar 98,03rd Feb 20,Action-Adventure
FIFA,Series,EA Sports,,,,325.00m,,,,,,15th Dec 93,03rd Feb 20,Sports
Minecraft,Series,Mojang,,,,238.00m,,,,,,18th Nov 11,08th Feb 20,Sandbox
Minecraft,All,Mojang,,,,238.00m,,,,,,18th Nov 11,08th Oct 20,Action-Adventure
Lego,Series,Mindscape,,,,203.22m,,,,,,26th Sep 97,01st Mar 20,Action-Adventure
Assassin's Creed,Series,Ubisoft,,,,200.00m,,,,,,13th Nov 07,11th Feb 20,Action-Adventure
The Sims,Series,Electronic Arts,,,,200.00m,,,,,,04th Feb 00,18th Feb 20,Simulation
Final Fantasy,Series,Square,,,,173.00m,,,,,,18th Dec 87,28th Feb 20,Role-Playing
Grand Theft Auto V,All,Rockstar Games,,,,170.00m,,,,,,17th Sep 13,08th Oct 20,Action-Adventure
Mario Kart,Series,Nintendo,,,,169.82m,,,,,,01st Sep 92,20th Feb 20,Racing
Need for Speed,Series,Electronic Arts,,,,150.00m,,,,,,31st Aug 94,24th Feb 20,Racing
Tomb Raider,Series,Eidos Interactive,,,,141.00m,,,,,,14th Nov 96,27th Feb 20,Action-Adventure
Resident Evil,Series,Capcom,,,,131.00m,,,,,,30th Mar 96,03rd Feb 20,Action-Adventure
Madden NFL,Series,Electronic Arts,,,,130.00m,,,,,,01st Jun 88,25th Feb 20,Sports
NBA 2K,Series,Sega,,,,130.00m,,,,,,10th Nov 99,16th Feb 20,Sports
The Legend of Zelda,Series,Nintendo,,,,124.10m,,,,,,14th Jul 87,03rd Feb 20,Action-Adventure
Wii Sports,Series,Nintendo,,,,122.19m,,,,,,19th Nov 06,20th Feb 20,Sports
Pro Evolution Soccer/eFootball,Series,Konami,,,,112.50m,,,,,,22nd Dec 95,07th Feb 22,Sports
Monster Hunter,Series,Capcom,,,,88.00m,,,,,,21st Sep 04,03rd Feb 20,Role-Playing
