games_id,rank,game_name,release_year,release_date,VGChartz Score,Critic Score,User Score,developer_id,genre_id,console_id,publisher_id
0,1,God of War,2005,2005-03-22,,,,0,0,0,0
1,27,The Last of Us,2013,2013-06-14,,,,5,1,0,0
2,44,Jak and Daxter,2001,2001-12-03,,,,5,1,0,0
3,4,Crash Bandicoot,1996,1996-09-09,,,,5,10,0,0
4,9,Uncharted,2007,2007-11-20,,,,5,15,0,0
5,14,Spyro,1998,1998-09-10,,,,115,10,0,0
6,19,Ratchet & Clank,2002,2002-11-04,,,,115,15,0,0
7,45,SOCOM,2002,2002-08-27,,,,1587,15,0,0
8,3,Gran Turismo,1998,1998-05-12,,,,5177,12,0,0
9,22,Everybody's Golf,1998,1998-04-30,,,,6949,17,0,0
10,718,Ultra Street Fighter IV,2015,2015-05-26,,,,2,5,2,0
11,47,The Last of Us Remastered,2014,2014-07-29,,9.5,,5,1,2,0
12,1052,The Last of Us: Left Behind,2015,2015-05-12,,,,5,1,2,0
13,416,God of War III Remastered,2015,2015-07-14,,,,9,0,2,0
14,32,Uncharted: The Nathan Drake Collection,2015,2015-10-07,,,,15,0,2,0
15,382,Gravity Rush Remastered,2016,2016-02-02,,7.9,,15,1,2,0
16,257,The Order: 1886,2015,2015-02-20,,6.2,,38,15,2,0
17,2608,InFAMOUS: First Light,2014,2014-08-26,,,,63,0,2,0
18,248,SingStar,2014,2014-10-28,,,,182,8,2,0
19,1799,flOw,2013,2013-12-17,,,,189,16,2,0
20,2460,Dark Cloud 2,2016,2016-01-19,,,,206,13,2,0
21,4514,Dark Cloud,2015,2015-12-05,,,,206,13,2,0
22,7713,Predator: Hunting Grounds,2020,2020-04-24,,,,231,0,2,0
23,7896,The Mark of Kri,2015,2015-12-05,,,,239,0,2,0
24,546,MLB 14 The Show,2014,2014-05-06,,8.3,,239,17,2,0
25,200,Bloodborne,2015,2015-03-24,,8.2,,310,13,2,0
26,1157,The Heavy Rain and Beyond: Two Souls Collection,2016,2016-03-01,,,,346,0,2,0
27,3158,Heavy Rain,2016,2016-03-01,,,,346,2,2,0
28,5020,Beyond: Two Souls,2015,2015-11-24,,,,346,2,2,0
29,98,The Playroom,2013,2013-11-15,,,,401,9,2,0
30,250,Knack,2013,2013-11-15,,8.4,,401,10,2,0
31,7748,Rise of the Kasai,2016,2016-03-08,,,,412,0,2,0
32,60,Until Dawn,2015,2015-08-25,,,,492,2,2,0
33,3066,FantaVision,2015,2015-12-14,,,,761,11,2,0
34,2192,War of the Monsters,2015,2015-12-05,,,,990,5,2,0
35,3131,Twisted Metal: Black,2015,2015-12-05,,,,990,12,2,0
36,3997,CounterSpy,2014,2014-08-20,,,,1045,0,2,0
37,4396,Entwined,2014,2014-06-09,,,,1164,0,2,0
38,4446,Fat Princess Adventures,2015,2015-12-05,,,,1180,0,2,0
39,3063,Escape Plan,2013,2013-12-03,,,,1180,11,2,0
40,4804,Hardware: Rivals,2016,2016-01-05,,,,1267,0,2,0
41,4839,Helldivers,2015,2015-08-18,,8.7,,1277,0,2,0
42,7441,Evotinction,2020,2020-12-01,,,,1812,0,2,0
43,128,LittleBigPlanet 3,2014,2014-11-18,,,,1878,10,2,0
44,206,Killzone: Shadow Fall,2013,2013-11-15,,9.0,,1939,15,2,0
45,199,inFAMOUS: Second Son,2014,2014-03-21,,,,1942,1,2,0
46,771,F.I.S.T.,2020,2020-12-01,,,,2018,1,2,0
47,818,In Nightmare,2020,2020-12-01,,,,2028,1,2,0
48,12,Minecraft,2014,2014-10-07,,9.4,,2036,6,2,0
49,4644,The Unfinished Swan,2014,2014-10-28,,,,2126,2,2,0
50,2936,flower,2013,2013-11-15,,8.8,,2163,2,2,0
51,5184,Journey,2015,2015-07-21,,,,2163,2,2,0
52,9140,Journey Collector's Edition,2015,2015-09-29,,,,2163,6,2,0
53,2875,Everybody's Gone to the Rapture  Read the review,2015,2015-08-11,,,,2603,2,2,0
54,3202,Hohokum,2014,2014-08-12,,,,2660,2,2,0
55,4418,Arc the Lad: Twilight of the Spirits,2016,2016-01-12,,,,3406,13,2,0
56,92,Singstar: Ultimate Party,2014,2014-10-24,,,,3467,8,2,0
57,3787,Doki-Doki Universe,2013,2013-12-10,,,,3513,6,2,0
58,7710,Sound Shapes,2013,2013-11-15,,,,4043,6,2,0
59,624,Tearaway Unfolded,2015,2015-09-08,,,,4145,10,2,0
60,3549,RESOGUN,2013,2013-11-15,,8.4,,4456,15,2,0
61,4536,Dead Nation: Apocalypse Edition,2014,2014-03-04,,,,4456,15,2,0
62,4847,Super Stardust Ultra,2015,2015-02-10,,,,4456,15,2,0
63,4757,Okage: Shadow King,2016,2016-03-22,,,,5047,13,2,0
64,95,Driveclub  Read the review,2014,2014-10-07,5.8,7.2,,5182,12,2,0
65,3016,Driveclub Bikes,2015,2015-10-27,,,,5182,12,2,0
66,4405,AI-LIMIT,2020,2020-12-01,,,,5950,13,2,0
67,4413,ANNO: Mutationem,2020,2020-12-01,,,,5951,13,2,0
68,5239,Everybody's Golf VR,2019,2019-05-21,,,,6086,17,2,0
69,5265,Hustle Kings,2015,2015-02-10,,,,6268,17,2,0
70,4520,Convallaria,2020,2020-12-01,,,,6542,15,2,0
71,3264,GUNS UP!,2015,2015-12-05,,,,7679,18,2,0
72,73,Jak and Daxter: The Precursor Legacy,2001,2001-12-04,,9.0,8.9,5,10,3,0
73,98,Jak II,2003,2003-10-14,,,,5,10,3,0
