publisher_id,publisher
0,Sony Computer Entertainment
1,KOEI
2,Capcom
3,Rockstar Games
4,Konami
5,Sony Interactive Entertainment
6,Electronic Arts
7,Edmund McMillen
8,GT Interactive
9,LucasArts
10,Ubisoft
11,Warner Bros. Interactive
12,Square Enix
13,Atari
14,Eidos Interactive
15,Deep Silver
16,Activision
17,The Fun Pimps
18,Hasbro Interactive
19,Blizzard Entertainment
20,THQ
21,Nintendo
22,Warner Bros. Interactive Entertainment
23,Konami Digital Entertainment
24,Motion Twin
25,Fatshark
26,Microsoft Studios
27,Nicalis
28,Namco Bandai Games
29,Buena Vista
30,Sega
31,Devolver Digital
32,Take-Two Interactive
33,2K Games
34,Ultra Games
35,Parker Bros.
36,Disney Interactive Studios
37,Bethesda Softworks
38,Remedy Entertainment
39,Vivendi Games
40,Studio MDHR
41,989 Studios
42,D3 Publisher
43,Namco
44,505 Games
45,Virgin Interactive
46,Microsoft Game Studios
47,Team17 Software
48,3DO
49,Black Label Games
50,Tecmo
51,Ocean
52,Midway Games
53,Hudson Soft
54,Microsoft
55,Universal Interactive
56,Studio Wildcard
57,"mixi, Inc"
58,Triternion
59,Mindscape
60,Square
61,Crytek
62,Unknown
63,Tecmo Koei
64,Gearbox Software
65,2K Sports
66,Paradox Interactive
67,Mystique
68,20th Century Fox Video Games
69,Messhof
70,Men-A-Vision
71,Namco Bandai
72,DrinkBox Studios
73,Majesco
74,Gathering of Developers
75,Tigervision
76,Psygnosis
77,Mattel Interactive
78,TDK Mediactive
79,Conspiracy Entertainment
80,Sierra Entertainment
81,D3Publisher
82,Lace Mamba Global
83,Coleco
84,Trion Worlds
85,2K Play
86,Level 5
87,Banpresto
88,CPG Products
89,VU Games
90,Agetec
91,BAM! Entertainment
92,Games Workshop
93,Answer Software
94,Frictional Games
95,Fox Interactive
96,Focus Home Interactive
97,Gun Media
98,EuroVideo Medien
99,Spike Chunsoft
100,Bandai
101,Titus
102,Data Age
103,Interplay
104,Imagic
105,10TACLE Studios
106,Scholastic Inc.
107,"Destination Software, Inc"
108,Transhuman Design
109,Koei Tecmo
110,ITT Family Games
111,City Interactive
112,Codemasters
113,Xseed Games
114,CokeM Interactive
115,CBS Electronics
116,Bandai Namco Games
117,Atlus
118,Lince Works
119,Hamster Corporation
120,Ignition Entertainment
121,Red Mile Entertainment
122,NIS America
123,Acclaim Entertainment
124,Night Node Software
125,Neocore Games
126,WolfgangIs
127,Back To Basics Gaming
128,THQ Nordic
129,Knowledge Adventure
130,DL Softworks
131,Bandai Namco Entertainment
132,TopWare Interactive
133,Powerhoof Pty Ltd
134,Sold Out
135,Taito
136,Infogrames
137,ASC Games
138,Kemco
139,Bomb
140,Tomy Corporation
141,AQ Interactive
142,UFO Interactive
143,Telltale Games
144,Avalanche Studios
145,Kadokawa Games
146,PlayWay
147,Acquire
148,Gotham Games
149,TDK Core
150,Destineer
151,Victory Lap Games
152,Spike
153,Paramount Digital Entertainment
154,Dark Energy Digital
155,Sound Source Interactive
156,SouthPeak Interactive
157,GameMill
158,TinyBuild Games
159,Marvelous Entertainment
160,Nippon Columbia
161,Thomas Happ Games
