games_id,na_sales_in_millions,pal_sales_in_millions,jp_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
0,,,,,,51.0
1,,,,,,20.0
2,,,,,,12.0
3,,,,,,50.0
4,,,,,,44.25
5,,,,,,20.0
6,,,,,,26.0
7,,,,,,12.0
8,,,,,,80.4
9,,,,,,14.19
10,,0.08,,0.01,0.1,
11,,,,,,11.78
12,,,,,,
13,0.4,0.33,0.02,0.15,0.89,
14,2.55,2.11,0.1,0.94,5.7,
15,0.02,0.06,0.05,0.02,0.16,
16,0.44,0.86,0.07,0.25,1.62,
17,,0.03,,0.0,0.03,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,0.59,,,0.14,0.73,
25,,,,,,2.0
26,,0.24,,0.04,0.28,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,1.0
31,,,,,,
32,0.62,0.92,0.06,0.3,1.9,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,0.78,0.93,0.01,0.34,2.06,
44,,,,,,2.1
45,,,,,,1.0
46,,,,,,
47,,,,,,
48,1.89,3.13,0.35,0.96,6.33,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,0.16,,0.03,0.19,
57,,,,,,
58,,,,,,
59,0.07,0.13,,0.04,0.24,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,2.0
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,2.08,1.09,0.15,0.33,3.64,
73,1.68,0.74,,0.36,2.78,
74,1.33,0.49,,0.03,1.85,
75,0.45,0.02,,0.07,0.55,
76,,,,,,4.62
77,,,,,,4.24
78,0.16,0.12,,0.04,0.32,
79,1.23,1.77,0.05,0.49,3.54,
80,0.39,1.01,0.02,0.36,1.78,
81,1.0,0.04,,0.16,1.2,
82,,,,,,
83,,,,,,
84,,,,,,
85,0.62,0.48,,0.16,1.27,
86,0.36,0.28,,0.1,0.74,
87,0.35,0.28,,0.09,0.72,
88,0.31,0.24,,0.08,0.64,
89,0.28,0.22,,0.07,0.57,
90,0.26,0.2,,0.07,0.53,
91,0.25,0.2,,0.07,0.52,
92,0.23,0.18,,0.06,0.46,
93,0.22,0.18,,0.06,0.46,
94,0.37,0.01,,0.06,0.44,
95,0.2,0.16,,0.05,0.41,
96,0.19,0.15,,0.05,0.39,
97,0.15,0.12,,0.04,0.31,
98,0.15,0.12,,0.04,0.31,
99,0.14,0.11,,0.04,0.28,
100,0.1,0.07,,0.02,0.19,
101,0.09,0.07,,0.02,0.19,
102,0.09,0.07,,0.02,0.19,
103,0.05,0.04,,0.01,0.11,
104,,,,,,
105,,,,,,
106,,,,,,
107,0.13,0.1,,0.03,0.26,
108,1.44,1.01,0.57,0.3,3.33,
109,1.44,0.83,0.26,0.25,2.78,
110,1.31,0.74,0.31,0.22,2.57,
111,1.27,0.05,,0.02,1.33,
112,0.85,0.03,0.22,0.14,1.24,
113,,,0.24,,0.24,
114,0.15,0.12,,0.04,0.32,
115,,,,,,
116,1.19,0.17,,0.05,1.41,
117,0.23,0.18,,0.06,0.47,
118,0.13,0.1,,0.03,0.27,
119,0.16,0.13,,0.04,0.33,
120,0.05,0.04,,0.01,0.1,
121,,,,,,4.0
122,,1.37,,0.49,1.86,
123,0.04,1.08,,0.32,1.44,
124,0.23,0.04,,1.09,1.36,
125,,1.04,,0.31,1.35,
126,0.27,0.02,,1.02,1.3,
127,0.12,0.75,,0.23,1.1,
128,,0.84,,0.25,1.1,
129,,,,,,1.0
130,,0.68,,0.2,0.89,
131,0.1,0.59,,0.18,0.87,
132,,0.5,,0.15,0.65,
133,0.08,0.12,,0.44,0.63,
134,,0.04,,0.57,0.61,
135,,0.06,,0.48,0.54,
136,,0.06,,0.39,0.45,
137,,0.06,,0.38,0.44,
138,0.18,0.14,,0.05,0.38,
139,0.09,0.07,,0.02,0.18,
140,0.07,0.05,,0.02,0.13,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,0.09,0.07,,0.02,0.17,
175,0.08,0.06,,0.02,0.17,
176,0.08,0.06,,0.02,0.16,
177,0.07,0.05,,0.02,0.14,
178,0.07,0.05,,0.02,0.14,
179,,,,,,
180,,,,,,
181,0.22,0.17,,0.06,0.46,
182,0.13,0.1,0.03,0.03,0.29,
183,0.83,0.44,0.08,0.19,1.54,
184,0.38,0.25,0.26,0.07,0.96,
185,0.24,0.16,0.39,0.05,0.84,
186,0.2,0.16,,0.05,0.41,
187,0.21,0.16,0.12,0.05,0.55,
188,,,,,,
189,0.22,0.18,,0.06,0.46,
190,0.77,0.03,,0.13,0.93,
191,0.26,0.2,,0.07,0.53,
192,0.16,0.13,,0.04,0.33,
193,0.08,0.06,,0.02,0.17,
194,0.06,0.05,,0.02,0.13,
195,0.01,0.01,,0.0,0.02,
196,0.21,0.17,,0.06,0.43,
197,0.12,0.09,,0.03,0.24,
198,,,0.05,,0.05,
199,,,,,,
200,,,,,,
201,,,0.09,,0.09,
202,,,,,,
203,0.11,0.09,,0.03,0.23,
204,2.07,0.26,,0.08,2.41,
205,1.92,0.2,,0.06,2.18,
206,,,0.08,,0.08,
207,,,,,,
208,0.09,0.07,,0.02,0.18,
209,,,,,,
210,0.06,0.05,,0.02,0.13,
211,0.09,0.07,,0.02,0.19,
212,0.13,0.18,,0.29,0.6,
213,0.07,0.03,,0.25,0.34,
214,,,0.03,,0.03,
215,,,,,,
216,,,0.08,,0.08,
217,,,,,,
218,,,,,,
219,,,0.12,,0.12,
220,0.14,0.11,0.19,0.04,0.47,
221,,,,,,
222,,,0.07,,0.07,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,0.26,0.2,,0.07,0.54,
228,,,,,,
229,,,,,,
230,,,,,,
231,0.16,0.13,0.29,0.04,0.62,
232,0.2,0.16,,0.05,0.41,
233,0.11,0.09,,0.03,0.23,
234,,,,,,
235,,,,,,
236,,,,,,
237,0.07,0.05,,0.02,0.14,
238,,,0.07,,0.07,
239,,,0.02,,0.02,
240,,,0.01,,0.01,
241,,,,,,
242,2.53,0.81,0.06,0.24,3.65,
243,2.22,0.51,0.06,0.15,2.94,
244,1.74,0.02,,0.28,2.04,
245,1.22,0.34,0.04,0.1,1.69,
246,,,0.04,,0.04,
247,,,0.16,,0.16,
248,0.79,0.03,,0.13,0.94,
249,0.88,0.69,,0.23,1.81,
250,1.03,0.14,,0.04,1.21,
251,0.69,0.03,,0.11,0.83,
252,0.78,0.03,0.2,0.13,1.14,
253,0.23,0.18,,0.06,0.47,
254,,,0.41,,0.41,
255,0.15,0.12,,0.04,0.3,
256,0.16,0.13,,0.04,0.33,
257,,1.18,,0.43,1.61,
258,,1.1,,0.39,1.49,
259,0.32,0.06,,0.5,0.88,
260,0.17,0.0,,0.61,0.78,
261,,0.02,,0.19,0.2,
